Player,Mean Possibilities,Maximum Possibilities,Mean Decrease in Possibilities
Devin Booker,9.23,36,98.14%
Kenrich Williams,9.35,37,98.12%
Keldon Johnson,9.35,33,98.11%
Moritz Wagner,9.36,39,98.11%
Willy Hernangomez,9.36,55,98.11%
Zion Williamson,9.41,38,98.10%
Zach Collins,9.48,39,98.09%
Scottie Barnes,9.54,43,98.08%
Paul George,9.57,52,98.07%
Derrick Favors,9.60,58,98.07%
Malachi Flynn,9.60,45,98.06%
Jaren Jackson Jr.,9.63,71,98.06%
Trendon Watford,9.64,45,98.06%
Trae Young,9.66,52,98.05%
Devin Vassell,9.66,44,98.05%
Javonte Green,9.66,65,98.05%
Lauri Markkanen,9.66,36,98.05%
Tyus Jones,9.72,45,98.04%
Jason Preston,9.74,80,98.04%
Keita Bates-Diop,9.78,54,98.03%
Danuel House Jr.,9.79,46,98.03%
Larry Nance Jr.,9.83,56,98.02%
Davion Mitchell,9.87,82,98.01%
Spencer Dinwiddie,9.91,41,98.00%
Terence Davis,9.92,52,98.00%
Jamal Murray,9.94,44,98.00%
Myles Powell,9.96,52,97.99%
Tony Snell,9.96,41,97.99%
Scottie Lewis,9.96,47,97.99%
Jaden McDaniels,9.99,51,97.99%
Saddiq Bey,10.00,51,97.98%
De'Aaron Fox,10.01,52,97.98%
Khris Middleton,10.02,79,97.98%
Dean Wade,10.10,45,97.96%
David Johnson,10.23,53,97.94%
Pat Connaughton,10.33,82,97.92%
John Konchar,10.35,43,97.91%
Ja Morant,10.41,97,97.90%
David Duke Jr.,10.42,60,97.90%
Ziaire Williams,10.48,47,97.89%
Marquese Chriss,10.48,53,97.89%
Duncan Robinson,10.53,56,97.88%
Aaron Gordon,10.53,52,97.88%
Christian Wood,10.56,57,97.87%
R.J. Hampton,10.56,55,97.87%
Richaun Holmes,10.66,63,97.85%
Bruno Fernando,10.66,52,97.85%
Gabe Vincent,10.67,45,97.85%
Robert Covington,10.67,62,97.85%
Josh Green,10.69,61,97.84%
Malcolm Brogdon,10.76,84,97.83%
Onyeka Okongwu,10.78,54,97.83%
Joel Ayayi,10.85,50,97.81%
Dario Saric,10.86,57,97.81%
Nerlens Noel,10.86,76,97.81%
Didi Louzada,10.89,52,97.80%
Jordan McLaughlin,10.91,48,97.80%
Gordon Hayward,10.93,84,97.80%
Cassius Winston,10.93,57,97.80%
Romeo Langford,10.96,40,97.79%
Ben Simmons,10.98,71,97.79%
Dalano Banton,10.98,56,97.79%
Juancho Hernangomez,11.02,54,97.78%
T.J. Warren,11.04,84,97.77%
Trey Murphy III,11.06,64,97.77%
Isaiah Todd,11.06,56,97.77%
DeMar DeRozan,11.08,72,97.77%
Kyle Kuzma,11.10,64,97.76%
Alec Burks,11.10,47,97.76%
Rodney Hood,11.12,54,97.76%
Austin Rivers,11.14,96,97.75%
Chris Smith,11.17,57,97.75%
Tristan Thompson,11.19,101,97.74%
Jose Alvarado,11.21,95,97.74%
Lonnie Walker IV,11.24,56,97.73%
Cameron Payne,11.29,103,97.72%
Mason Jones,11.34,56,97.71%
Kyle Guy,11.35,59,97.71%
Brodric Thomas,11.36,38,97.71%
Kawhi Leonard,11.38,55,97.71%
Buddy Hield,11.39,98,97.70%
Thanasis Antetokounmpo,11.45,46,97.69%
Juan Toscano-Anderson,11.54,41,97.67%
Cam Reddish,11.55,64,97.67%
Julius Randle,11.70,69,97.64%
D'Angelo Russell,11.71,53,97.64%
Tre Mann,11.74,113,97.63%
Anthony Davis,11.75,59,97.63%
Donte DiVincenzo,11.76,44,97.63%
Trey Lyles,11.78,63,97.63%
Frank Jackson,11.82,69,97.62%
Vernon Carey Jr.,11.86,59,97.61%
Sterling Brown,11.88,55,97.61%
Mitchell Robinson,11.91,48,97.60%
Bradley Beal,11.95,80,97.59%
Marcus Morris Sr.,11.98,54,97.59%
Yuta Watanabe,12.09,90,97.56%
Charles Bassey,12.14,61,97.55%
Trent Forrest,12.17,69,97.55%
Killian Tillie,12.18,57,97.54%
Darius Garland,12.21,66,97.54%
Rodney McGruder,12.25,108,97.53%
Pascal Siakam,12.28,69,97.52%
Reggie Bullock,12.29,52,97.52%
RJ Nembhard Jr.,12.35,71,97.51%
Ben McLemore,12.35,110,97.51%
Josh Jackson,12.36,50,97.51%
Jimmy Butler,12.37,93,97.51%
Jaylen Nowell,12.43,66,97.49%
Klay Thompson,12.45,58,97.49%
Moses Wright,12.45,61,97.49%
Jeremy Lamb,12.47,54,97.49%
Norman Powell,12.48,105,97.48%
Zeke Nnaji,12.54,66,97.47%
Vit Krejci,12.56,62,97.47%
Aaron Holiday,12.58,50,97.46%
Carmelo Anthony,12.58,54,97.46%
Jayson Tatum,12.71,56,97.44%
P.J. Tucker,12.72,54,97.44%
Marcus Smart,12.81,80,97.42%
Dwight Powell,12.82,67,97.42%
Otto Porter Jr.,13.01,73,97.38%
Jaxson Hayes,13.07,96,97.36%
McKinley Wright IV,13.09,87,97.36%
David Nwaba,13.12,65,97.35%
Fred VanVleet,13.13,106,97.35%
Robert Williams III,13.16,51,97.35%
Usman Garuba,13.18,69,97.34%
Kristaps Porzingis,13.21,72,97.34%
Jared Butler,13.23,120,97.33%
Kelly Olynyk,13.26,106,97.33%
Killian Hayes,13.29,98,97.32%
Santi Aldama,13.30,88,97.32%
Arnoldas Kulboka,13.38,56,97.30%
Day'Ron Sharpe,13.38,72,97.30%
Immanuel Quickley,13.42,72,97.29%
Danny Green,13.46,62,97.29%
Tyrese Haliburton,13.46,65,97.29%
Daishen Nix,13.52,116,97.27%
James Johnson,13.54,102,97.27%
Markieff Morris,13.57,123,97.26%
Paul Millsap,13.60,104,97.26%
Jordan Poole,13.65,70,97.25%
Bryn Forbes,13.66,100,97.25%
Luguentz Dort,13.72,90,97.23%
Brandon Boston Jr.,13.73,65,97.23%
Justin Holiday,13.76,57,97.23%
Lindell Wigginton,13.78,63,97.22%
Joel Embiid,13.78,74,97.22%
Frank Kaminsky,13.79,94,97.22%
Kyrie Irving,13.84,119,97.21%
Quentin Grimes,13.87,78,97.20%
Paul Reed,13.99,70,97.18%
Luka Doncic,13.99,53,97.18%
Raul Neto,14.04,109,97.17%
Myles Turner,14.07,49,97.16%
Bismack Biyombo,14.09,69,97.16%
Terry Rozier,14.10,84,97.16%
Theo Maledon,14.10,120,97.16%
DeAndre' Bembry,14.24,63,97.13%
Victor Oladipo,14.32,92,97.11%
Isaac Okoro,14.33,50,97.11%
Will Barton,14.40,78,97.10%
Kentavious Caldwell-Pope,14.48,79,97.08%
Nemanja Bjelica,14.50,62,97.08%
Karl-Anthony Towns,14.52,54,97.07%
Kai Jones,14.56,70,97.06%
Jeremiah Robinson-Earl,14.56,68,97.06%
Talen Horton-Tucker,14.57,93,97.06%
Clint Capela,14.60,117,97.06%
Tomas Satoransky,14.73,78,97.03%
Torrey Craig,14.79,69,97.02%
Franz Wagner,14.80,75,97.02%
Kevin Durant,14.80,130,97.02%
Udoka Azubuike,14.83,94,97.01%
Giannis Antetokounmpo,14.83,74,97.01%
Cory Joseph,14.87,121,97.00%
Isaiah Jackson,15.00,76,96.98%
Kevin Porter Jr.,15.08,89,96.96%
Marvin Bagley III,15.25,65,96.93%
Sekou Doumbouya,15.28,70,96.92%
Delon Wright,15.31,76,96.91%
Danilo Gallinari,15.34,127,96.91%
Jalen Johnson,15.40,77,96.90%
LaMelo Ball,15.43,57,96.89%
Aleksej Pokusevski,15.45,74,96.88%
Devonte' Graham,15.53,94,96.87%
Coby White,15.55,76,96.87%
Damion Lee,15.63,73,96.85%
Jaden Springer,15.67,127,96.84%
Jevon Carter,15.70,66,96.84%
Kent Bazemore,15.70,116,96.84%
Harrison Barnes,15.74,81,96.83%
T.J. McConnell,15.74,116,96.83%
James Bouknight,15.75,83,96.83%
Cade Cunningham,15.82,67,96.81%
Jay Scrubb,15.88,74,96.80%
Jalen Smith,16.02,70,96.77%
Bol Bol,16.04,63,96.77%
Jrue Holiday,16.06,132,96.76%
Jalen Suggs,16.17,95,96.74%
Jae Crowder,16.29,51,96.72%
Terrence Ross,16.31,64,96.71%
Nikola Jokic,16.39,126,96.70%
LeBron James,16.43,73,96.69%
Nick Richards,16.44,67,96.69%
Deandre Ayton,16.53,109,96.67%
Donovan Mitchell,16.56,60,96.66%
Josh Giddey,16.58,62,96.66%
Chris Boucher,16.63,99,96.65%
Brandon Goodwin,16.73,65,96.63%
Chris Chiozza,16.78,62,96.62%
Andre Iguodala,16.87,70,96.60%
Luka Samanic,17.04,78,96.56%
Avery Bradley,17.07,134,96.56%
Collin Sexton,17.17,83,96.54%
Patrick Williams,17.17,75,96.54%
Cam Thomas,17.27,134,96.52%
Anfernee Simons,17.30,94,96.51%
Joshua Primo,17.34,136,96.50%
Sandro Mamukelashvili,17.37,71,96.50%
Blake Griffin,17.52,123,96.47%
Josh Christopher,17.79,133,96.41%
Ryan Arcidiacono,17.91,88,96.39%
Tre Jones,18.03,101,96.37%
Elfrid Payton,18.07,103,96.36%
Daniel Theis,18.19,100,96.33%
JT Thor,18.24,129,96.32%
Isaiah Stewart,18.28,78,96.31%
Kyle Anderson,18.31,87,96.31%
Bojan Bogdanovic,18.32,78,96.31%
De'Anthony Melton,18.49,94,96.27%
