player,playerId,team,teamId,conference,division,age,position,jersey,height,teams
Tyler Cook,1629076,CHI,1610612741,east,central,24,F,25.0,80,CHI.DET.BKN.DEN.CLE
Tyler Herro,1629639,MIA,1610612748,east,southeast,22,G,14.0,77,MIA
Tyrell Terry,1630179,MEM,1610612763,west,southwest,21,G,3.0,74,MEM.DAL
Tyrese Haliburton,1630169,IND,1610612754,east,central,22,G,0.0,77,IND.SAC
Tyrese Maxey,1630178,PHI,1610612755,east,atlantic,21,G,0.0,74,PHI
Tyus Jones,1626145,MEM,1610612763,west,southwest,25,G,21.0,72,MEM.MIN
Udoka Azubuike,1628962,UTA,1610612762,west,northwest,22,C-F,20.0,84,UTA
Udonis Haslem,2617,MIA,1610612748,east,southeast,41,F,40.0,80,MIA
Usman Garuba,1630586,HOU,1610612745,west,southwest,19,F,16.0,80,HOU
Vernon Carey Jr.,1630176,WAS,1610612764,east,southeast,21,F-C,22.0,81,WAS.CHA
Victor Oladipo,203506,MIA,1610612748,east,southeast,29,G,4.0,76,MIA.HOU.IND.OKC.ORL
Vit Krejci,1630249,OKC,1610612760,west,northwest,21,G,27.0,80,OKC
Vlatko Cancar,1628427,DEN,1610612743,west,northwest,24,F,31.0,80,DEN
Wayne Ellington,201961,LAL,1610612747,west,pacific,34,G,2.0,76,LAL.DET.NYK.MIA.BKN.DAL.CLE.MEM.MIN
Wendell Carter Jr.,1628976,ORL,1610612753,east,southeast,22,C-F,34.0,82,ORL.CHI
Wesley Matthews,202083,MIL,1610612749,east,central,35,G,23.0,76,MIL.LAL.IND.NYK.DAL.POR.UTA
Will Barton,203115,DEN,1610612743,west,northwest,31,G,5.0,77,DEN.POR
Willie Cauley-Stein,1626161,PHI,1610612755,east,atlantic,28,C,0.0,84,PHI.DAL.GSW.SAC
Willy Hernangomez,1626195,NOP,1610612740,west,southwest,27,C-F,9.0,83,NOP.CHA.NYK
Xavier Sneed,1630270,UTA,1610612762,west,northwest,24,F,,77,MEM
Xavier Tillman,1630214,MEM,1610612763,west,southwest,23,F,2.0,80,MEM
Yuta Watanabe,1629139,TOR,1610612761,east,atlantic,27,G-F,18.0,81,TOR.MEM
Yves Pons,1630582,MEM,1610612763,west,southwest,22,F,5.0,77,MEM
Zach Collins,1628380,SAS,1610612759,west,southwest,24,F-C,23.0,83,SAS.POR
Zach LaVine,203897,CHI,1610612741,east,central,26,G-F,8.0,77,CHI.MIN
Zeke Nnaji,1630192,DEN,1610612743,west,northwest,21,F-C,22.0,81,DEN
Ziaire Williams,1630533,MEM,1610612763,west,southwest,20,F,8.0,81,MEM
Zion Williamson,1629627,NOP,1610612740,west,southwest,21,F,1.0,78,NOP
