player,playerId,team,teamId,conference,division,age,position,jersey,height,teams
JaVale McGee,201580,PHX,1610612756,west,pacific,34,C-F,0.0,84,PHX.DEN.CLE.LAL.GSW.DAL.PHI.WAS
Jaden McDaniels,1630183,MIN,1610612750,west,northwest,21,F,3.0,81,MIN
Jaden Springer,1630531,PHI,1610612755,east,atlantic,19,G,11.0,76,PHI
Jae Crowder,203109,PHX,1610612756,west,pacific,31,F,99.0,78,PHX.MIA.MEM.UTA.CLE.BOS.DAL
Jae'Sean Tate,1630256,HOU,1610612745,west,southwest,26,F,8.0,76,HOU
Jake Layman,1627774,MIN,1610612750,west,northwest,27,F,10.0,80,MIN.POR
Jakob Poeltl,1627751,SAS,1610612759,west,southwest,26,C,25.0,85,SAS.TOR
Jalen Brunson,1628973,DAL,1610612742,west,southwest,25,G,13.0,73,DAL
Jalen Green,1630224,HOU,1610612745,west,southwest,20,G,0.0,76,HOU
Jalen Johnson,1630552,ATL,1610612737,east,southeast,20,F,1.0,80,ATL
Jalen McDaniels,1629667,CHA,1610612766,east,southeast,24,F-C,6.0,81,CHA
Jalen Smith,1630188,IND,1610612754,east,central,21,F-C,25.0,82,IND.PHX
Jalen Suggs,1630591,ORL,1610612753,east,southeast,20,G,4.0,77,ORL
Jamal Murray,1627750,DEN,1610612743,west,northwest,25,G,27.0,75,DEN
James Bouknight,1630547,CHA,1610612766,east,southeast,21,G,5.0,76,CHA
James Harden,201935,PHI,1610612755,east,atlantic,32,G,1.0,77,PHI.BKN.HOU.OKC
James Johnson,201949,BKN,1610612751,east,atlantic,35,F,16.0,79,BKN.NOP.DAL.MIN.MIA.TOR.MEM.SAC.CHI
James Wiseman,1630164,GSW,1610612744,west,pacific,20,C,33.0,84,GSW
Jamorko Pickett,1630691,DET,1610612765,east,central,24,F,24.0,81,DET
Jared Butler,1630215,UTA,1610612762,west,northwest,21,G,13.0,75,UTA
Jaren Jackson Jr.,1628991,MEM,1610612763,west,southwest,22,F-C,13.0,83,MEM
Jarred Vanderbilt,1629020,MIN,1610612750,west,northwest,22,F,8.0,81,MIN.DEN
Jarrett Allen,1628386,CLE,1610612739,east,central,23,C,31.0,82,CLE.BKN
Jarrett Culver,1629633,MEM,1610612763,west,southwest,23,G-F,23.0,78,MEM.MIN
Jason Preston,1630554,LAC,1610612746,west,pacific,22,G,17.0,75,LAC
Javonte Green,1629750,CHI,1610612741,east,central,28,G-F,24.0,77,CHI.BOS
Javonte Smart,1630606,MIA,1610612748,east,southeast,22,G,15.0,76,MIL
Jaxson Hayes,1629637,NOP,1610612740,west,southwest,21,C-F,10.0,83,NOP
Jay Scrubb,1630206,LAC,1610612746,west,pacific,21,G,0.0,77,LAC
Jaylen Brown,1627759,BOS,1610612738,east,atlantic,25,G-F,7.0,78,BOS
Jaylen Nowell,1629669,MIN,1610612750,west,northwest,22,G,4.0,76,MIN
Jayson Tatum,1628369,BOS,1610612738,east,atlantic,23,F-G,0.0,80,BOS
Jeff Green,201145,DEN,1610612743,west,northwest,35,F,32.0,80,DEN.BKN.HOU.UTA.WAS.CLE.ORL.LAC.MEM.BOS.OKC.SEA
Jerami Grant,203924,DET,1610612765,east,central,27,F,9.0,80,DET.DEN.OKC.PHI
Jeremiah Robinson-Earl,1630526,OKC,1610612760,west,northwest,21,F,50.0,80,OKC
Jeremy Lamb,203087,SAC,1610612758,west,pacific,29,G-F,26.0,77,SAC.IND.CHA.OKC
Jericho Sims,1630579,NYK,1610612752,east,atlantic,23,C,45.0,81,NYK
Jevon Carter,1628975,MIL,1610612749,east,central,26,G,0.0,73,MIL.BKN.PHX.MEM
Jimmy Butler,202710,MIA,1610612748,east,southeast,32,F,22.0,79,MIA.PHI.MIN.CHI
Jock Landale,1629111,SAS,1610612759,west,southwest,26,C,34.0,83,SAS
Joe Harris,203925,BKN,1610612751,east,atlantic,30,G-F,12.0,78,BKN.CLE
Joe Ingles,204060,POR,1610612757,west,northwest,34,F-G,0.0,80,UTA
Joe Wieskamp,1630580,SAS,1610612759,west,southwest,22,G-F,15.0,78,SAS
Joel Ayayi,1630555,WAS,1610612764,east,southeast,21,G,17.0,76,WAS
Joel Embiid,203954,PHI,1610612755,east,atlantic,27,C-F,21.0,84,PHI
John Collins,1628381,ATL,1610612737,east,southeast,24,F-C,20.0,81,ATL
John Konchar,1629723,MEM,1610612763,west,southwest,25,G,46.0,77,MEM
John Wall,202322,HOU,1610612745,west,southwest,31,G,1.0,75,HOU.WAS
Jonas Valanciunas,202685,NOP,1610612740,west,southwest,29,C,17.0,83,NOP.MEM.TOR
Jonathan Isaac,1628371,ORL,1610612753,east,southeast,24,F,1.0,82,ORL
Jonathan Kuminga,1630228,GSW,1610612744,west,pacific,19,F,0.0,79,GSW
Jordan Clarkson,203903,UTA,1610612762,west,northwest,29,G,0.0,76,UTA.CLE.LAL
Jordan McLaughlin,1629162,MIN,1610612750,west,northwest,25,G,6.0,71,MIN
Jordan Nwora,1629670,MIL,1610612749,east,central,23,F,13.0,80,MIL
Jordan Poole,1629673,GSW,1610612744,west,pacific,22,G,3.0,76,GSW
Jose Alvarado,1630631,NOP,1610612740,west,southwest,23,G,15.0,72,NOP
Josh Christopher,1630528,HOU,1610612745,west,southwest,20,G,9.0,75,HOU
Josh Giddey,1630581,OKC,1610612760,west,northwest,19,G,3.0,80,OKC
Josh Green,1630182,DAL,1610612742,west,southwest,21,G,8.0,77,DAL
Josh Hart,1628404,POR,1610612757,west,northwest,26,G,11.0,77,POR.NOP.LAL
Josh Jackson,1628367,SAC,1610612758,west,pacific,25,G-F,55.0,80,SAC.DET.MEM.PHX
Josh Okogie,1629006,MIN,1610612750,west,northwest,23,G,20.0,76,MIN
Josh Richardson,1626196,SAS,1610612759,west,southwest,28,G,7.0,77,SAS.BOS.DAL.PHI.MIA
Joshua Primo,1630563,SAS,1610612759,west,southwest,19,G,11.0,76,SAS
Jrue Holiday,201950,MIL,1610612749,east,central,31,G,21.0,75,MIL.NOP.PHI
Juan Toscano-Anderson,1629308,GSW,1610612744,west,pacific,28,F,95.0,78,GSW
Juancho Hernangomez,1627823,UTA,1610612762,west,northwest,26,F,41.0,81,UTA.SAS.BOS.MIN.DEN
Julius Randle,203944,NYK,1610612752,east,atlantic,27,F-C,30.0,80,NYK.NOP.LAL
Justin Champagnie,1630551,TOR,1610612761,east,atlantic,20,G-F,11.0,78,TOR
Justin Holiday,203200,SAC,1610612758,west,pacific,32,F-G,9.0,78,SAC.IND.MEM.CHI.NYK.ATL.GSW.PHI
Justise Winslow,1626159,POR,1610612757,west,northwest,25,F-G,26.0,78,POR.LAC.MEM.MIA
Jusuf Nurkic,203994,POR,1610612757,west,northwest,27,C,27.0,83,POR.DEN
Kai Jones,1630539,CHA,1610612766,east,southeast,21,C-F,23.0,82,CHA
Karl-Anthony Towns,1626157,MIN,1610612750,west,northwest,26,C-F,32.0,83,MIN
Kawhi Leonard,202695,LAC,1610612746,west,pacific,30,F,2.0,79,LAC.TOR.SAS
Keifer Sykes,1626208,IND,1610612754,east,central,28,G,28.0,71,IND
Keita Bates-Diop,1628966,SAS,1610612759,west,southwest,26,F,31.0,80,SAS.DEN.MIN
Kelan Martin,1629103,BOS,1610612738,east,atlantic,26,F,21.0,77,BOS.IND.MIN
Keldon Johnson,1629640,SAS,1610612759,west,southwest,22,F-G,3.0,78,SAS
Keljin Blevins,1629833,POR,1610612757,west,northwest,26,G,21.0,76,POR
Kelly Olynyk,203482,DET,1610612765,east,central,30,F-C,13.0,83,DET.HOU.MIA.BOS
Kelly Oubre Jr.,1626162,CHA,1610612766,east,southeast,26,F-G,12.0,78,CHA.GSW.PHX.WAS
Kemba Walker,202689,NYK,1610612752,east,atlantic,31,G,8.0,72,NYK.BOS.CHA
Kendrick Nunn,1629134,LAL,1610612747,west,pacific,26,G,12.0,74,MIA
Kenrich Williams,1629026,OKC,1610612760,west,northwest,27,G-F,34.0,78,OKC.NOP
Kent Bazemore,203145,LAL,1610612747,west,pacific,32,G-F,9.0,76,LAL.GSW.SAC.POR.ATL
Kentavious Caldwell-Pope,203484,WAS,1610612764,east,southeast,29,G,1.0,77,WAS.LAL.DET
Kenyon Martin Jr.,1630231,HOU,1610612745,west,southwest,21,F,6.0,77,HOU
Keon Johnson,1630553,POR,1610612757,west,northwest,19,G,6.0,76,POR.LAC
Kessler Edwards,1630556,BKN,1610612751,east,atlantic,21,F,14.0,79,BKN
Kevin Durant,201142,BKN,1610612751,east,atlantic,33,F,7.0,82,BKN.GSW.OKC.SEA
Kevin Huerter,1628989,ATL,1610612737,east,southeast,23,G-F,3.0,79,ATL
Kevin Knox II,1628995,ATL,1610612737,east,southeast,22,F,5.0,79,ATL.NYK
Kevin Love,201567,CLE,1610612739,east,central,33,F-C,0.0,80,CLE.MIN
Kevin Porter Jr.,1629645,HOU,1610612745,west,southwest,21,G-F,3.0,76,HOU.CLE
Kevon Looney,1626172,GSW,1610612744,west,pacific,26,F,5.0,81,GSW
Khem Birch,203920,TOR,1610612761,east,atlantic,29,C,24.0,81,TOR.ORL
Khris Middleton,203114,MIL,1610612749,east,central,30,F,22.0,79,MIL.DET
Killian Hayes,1630165,DET,1610612765,east,central,20,G,7.0,77,DET
Killian Tillie,1629681,MEM,1610612763,west,southwest,23,F-C,35.0,81,MEM
Kira Lewis Jr.,1630184,NOP,1610612740,west,southwest,20,G,13.0,73,NOP
Klay Thompson,202691,GSW,1610612744,west,pacific,32,G,11.0,78,GSW
Kristaps Porzingis,204001,WAS,1610612764,east,southeast,26,F-C,6.0,87,DAL.NYK
Kyle Anderson,203937,MEM,1610612763,west,southwest,28,F-G,1.0,81,MEM.SAS
Kyle Guy,1629657,MIA,1610612748,east,southeast,24,G,5.0,73,MIA.SAC
Kyle Kuzma,1628398,WAS,1610612764,east,southeast,26,F,33.0,81,WAS.LAL
Kyle Lowry,200768,MIA,1610612748,east,southeast,35,G,7.0,72,MIA.TOR.HOU.MEM
Kyrie Irving,202681,BKN,1610612751,east,atlantic,29,G,11.0,74,BKN.BOS.CLE
LaMarcus Aldridge,200746,BKN,1610612751,east,atlantic,36,C-F,21.0,83,BKN.SAS.POR
LaMelo Ball,1630163,CHA,1610612766,east,southeast,20,G,2.0,79,CHA
Lamar Stevens,1630205,CLE,1610612739,east,central,24,F,8.0,78,CLE
Lance Stephenson,202362,IND,1610612754,east,central,31,F,6.0,77,IND.ATL.LAL.MIN.NOP.MEM.LAC.CHA
Landry Shamet,1629013,PHX,1610612756,west,pacific,24,G,14.0,76,PHX.BKN.LAC.PHI
Larry Nance Jr.,1626204,NOP,1610612740,west,southwest,29,F-C,22.0,79,POR.CLE.LAL
Lauri Markkanen,1628374,CLE,1610612739,east,central,24,F-C,24.0,83,CLE.CHI
LeBron James,2544,LAL,1610612747,west,pacific,37,F,6.0,81,LAL.CLE.MIA
Leandro Bolmaro,1630195,MIN,1610612750,west,northwest,21,F,9.0,78,MIN
Lindell Wigginton,1629623,MIL,1610612749,east,central,23,G,28.0,73,MIL
Lindy Waters III,1630322,OKC,1610612760,west,northwest,24,F,12.0,78,OKC
Lonnie Walker IV,1629022,SAS,1610612759,west,southwest,23,G-F,1.0,76,SAS
Lonzo Ball,1628366,CHI,1610612741,east,central,24,G,2.0,78,CHI.NOP.LAL
Lou Williams,101150,ATL,1610612737,east,southeast,35,G,6.0,74,ATL.LAC.HOU.LAL.TOR.PHI
Luguentz Dort,1629652,OKC,1610612760,west,northwest,22,G,5.0,75,OKC
Luka Doncic,1629029,DAL,1610612742,west,southwest,23,F-G,77.0,79,DAL
Luka Garza,1630568,DET,1610612765,east,central,23,C,55.0,82,DET
Luka Samanic,1629677,NYK,1610612752,east,atlantic,22,F,91.0,82,SAS
Luke Kennard,1628379,LAC,1610612746,west,pacific,25,G,5.0,77,LAC.DET
Luke Kornet,1628436,BOS,1610612738,east,atlantic,26,C-F,40.0,86,BOS.MIL.CLE.CHI.NYK
Malachi Flynn,1630201,TOR,1610612761,east,atlantic,23,G,22.0,73,TOR
Malcolm Brogdon,1627763,IND,1610612754,east,central,29,G,7.0,77,IND.MIL
Malcolm Hill,1630792,CHI,1610612741,east,central,26,F,,78,CHI.ATL
Malik Beasley,1627736,MIN,1610612750,west,northwest,25,G,5.0,76,MIN.DEN
Malik Fitts,1630238,BOS,1610612738,east,atlantic,24,F,24.0,77,BOS.UTA.LAC
Malik Monk,1628370,LAL,1610612747,west,pacific,24,G,11.0,75,LAL.CHA
Marcus Morris Sr.,202694,LAC,1610612746,west,pacific,32,F,8.0,80,LAC.NYK.BOS.DET.PHX.HOU
Marcus Smart,203935,BOS,1610612738,east,atlantic,27,G,36.0,76,BOS
Markelle Fultz,1628365,ORL,1610612753,east,southeast,23,G,20.0,76,ORL.PHI
Markieff Morris,202693,MIA,1610612748,east,southeast,32,F,8.0,81,MIA.LAL.DET.OKC.WAS.PHX
Marko Simonovic,1630250,CHI,1610612741,east,central,22,C,19.0,83,CHI
Markus Howard,1630210,DEN,1610612743,west,northwest,22,G,0.0,70,DEN
Marquese Chriss,1627737,DAL,1610612742,west,southwest,24,F,35.0,81,DAL.GSW.CLE.HOU.PHX
Marvin Bagley III,1628963,DET,1610612765,east,central,22,F,35.0,83,DET.SAC
Mason Jones,1630222,LAL,1610612747,west,pacific,23,G,40.0,76,LAL.PHI.HOU
Mason Plumlee,203486,CHA,1610612766,east,southeast,31,F-C,24.0,83,CHA.DET.DEN.POR.BKN
Matisse Thybulle,1629680,PHI,1610612755,east,atlantic,24,G-F,22.0,77,PHI
Matt Ryan,1630346,BOS,1610612738,east,atlantic,24,F,,79,BOS
Matt Thomas,1629744,CHI,1610612741,east,central,27,G,21.0,75,CHI.UTA.TOR
Maurice Harkless,203090,SAC,1610612758,west,pacific,28,F-G,8.0,79,SAC.MIA.NYK.LAC.POR.ORL
Max Strus,1629622,MIA,1610612748,east,southeast,25,G-F,31.0,77,MIA.CHI
Maxi Kleber,1628467,DAL,1610612742,west,southwest,30,F,42.0,82,DAL
McKinley Wright IV,1630593,MIN,1610612750,west,northwest,23,G,25.0,71,MIN
Michael Porter Jr.,1629008,DEN,1610612743,west,northwest,23,F,1.0,82,DEN
Mikal Bridges,1628969,PHX,1610612756,west,pacific,25,F,25.0,78,PHX
Mike Conley,201144,UTA,1610612762,west,northwest,34,G,11.0,73,UTA.MEM
Mike Muscala,203488,OKC,1610612760,west,northwest,30,F-C,33.0,82,OKC.LAL.PHI.ATL
Miles Bridges,1628970,CHA,1610612766,east,southeast,23,F,0.0,79,CHA
Miles McBride,1630540,NYK,1610612752,east,atlantic,21,G,2.0,73,NYK
Mitchell Robinson,1629011,NYK,1610612752,east,atlantic,23,C-F,23.0,84,NYK
Mo Bamba,1628964,ORL,1610612753,east,southeast,23,C,5.0,84,ORL
Monte Morris,1628420,DEN,1610612743,west,northwest,26,G,11.0,74,DEN
Montrezl Harrell,1626149,CHA,1610612766,east,southeast,28,F-C,6.0,79,CHA.WAS.LAL.LAC.HOU
Moritz Wagner,1629021,ORL,1610612753,east,southeast,24,F-C,21.0,83,ORL.BOS.WAS.LAL
Moses Moody,1630541,GSW,1610612744,west,pacific,19,G,4.0,77,GSW
Moses Wright,1630589,DAL,1610612742,west,southwest,23,F,,80,LAC
Myles Powell,1629619,PHI,1610612755,east,atlantic,24,G,5.0,74,PHI
Myles Turner,1626167,IND,1610612754,east,central,25,C-F,33.0,83,IND
Naji Marshall,1630230,NOP,1610612740,west,southwest,24,F,8.0,79,NOP
Nassir Little,1629642,POR,1610612757,west,northwest,22,F-G,9.0,77,POR
Nathan Knight,1630233,MIN,1610612750,west,northwest,24,F-C,13.0,82,MIN.ATL
Naz Reid,1629675,MIN,1610612750,west,northwest,22,C-F,11.0,81,MIN
Neemias Queta,1629674,SAC,1610612758,west,pacific,22,C,88.0,84,SAC
Nemanja Bjelica,202357,GSW,1610612744,west,pacific,33,F,8.0,81,GSW.MIA.SAC.MIN
Nerlens Noel,203457,NYK,1610612752,east,atlantic,27,C-F,3.0,83,NYK.OKC.DAL.PHI
Nic Claxton,1629651,BKN,1610612751,east,atlantic,22,F-C,33.0,83,BKN
Nick Richards,1630208,CHA,1610612766,east,southeast,24,C,14.0,84,CHA
Nickeil Alexander-Walker,1629638,UTA,1610612762,west,northwest,23,G,6.0,77,UTA.NOP
Nicolas Batum,201587,LAC,1610612746,west,pacific,33,G-F,33.0,80,LAC.CHA.POR
Nikola Jokic,203999,DEN,1610612743,west,northwest,27,C,15.0,83,DEN
Nikola Vucevic,202696,CHI,1610612741,east,central,31,C,9.0,82,CHI.ORL.PHI
Norman Powell,1626181,LAC,1610612746,west,pacific,28,G,24.0,75,LAC.POR.TOR
OG Anunoby,1628384,TOR,1610612761,east,atlantic,24,F,3.0,79,TOR
Obi Toppin,1630167,NYK,1610612752,east,atlantic,23,F,1.0,81,NYK
Olivier Sarr,1630846,OKC,1610612760,west,northwest,23,C,30.0,84,OKC
Omer Yurtseven,1630209,MIA,1610612748,east,southeast,23,C,77.0,83,MIA
Onyeka Okongwu,1630168,ATL,1610612737,east,southeast,21,F-C,17.0,80,ATL
Oshae Brissett,1629052,IND,1610612754,east,central,23,F-G,12.0,79,IND.TOR
Otto Porter Jr.,203490,GSW,1610612744,west,pacific,28,F,32.0,80,GSW.ORL.CHI.WAS
P.J. Tucker,200782,MIA,1610612748,east,southeast,36,F,17.0,77,MIA.MIL.HOU.TOR.PHX
P.J. Washington,1629023,CHA,1610612766,east,southeast,23,F,25.0,79,CHA
Pascal Siakam,1627783,TOR,1610612761,east,atlantic,27,F,43.0,80,TOR
Pat Connaughton,1626192,MIL,1610612749,east,central,29,G,24.0,77,MIL.POR
Patrick Beverley,201976,MIN,1610612750,west,northwest,33,G,22.0,73,MIN.LAC.HOU
Patrick Williams,1630172,CHI,1610612741,east,central,20,F,44.0,79,CHI
Patty Mills,201988,BKN,1610612751,east,atlantic,33,G,8.0,72,BKN.SAS.POR
Paul George,202331,LAC,1610612746,west,pacific,31,F,13.0,80,LAC.OKC.IND
Paul Millsap,200794,PHI,1610612755,east,atlantic,37,F,8.0,79,PHI.BKN.DEN.ATL.UTA
Paul Reed,1630194,PHI,1610612755,east,atlantic,22,F,44.0,81,PHI
Payton Pritchard,1630202,BOS,1610612738,east,atlantic,24,G,11.0,73,BOS
Precious Achiuwa,1630173,TOR,1610612761,east,atlantic,22,F,5.0,80,TOR.MIA
Quentin Grimes,1629656,NYK,1610612752,east,atlantic,21,G,6.0,76,NYK
Quinndary Weatherspoon,1629683,GSW,1610612744,west,pacific,25,G,15.0,75,GSW.SAS
R.J. Hampton,1630181,ORL,1610612753,east,southeast,21,G,13.0,76,ORL.DEN
RJ Barrett,1629628,NYK,1610612752,east,atlantic,21,F-G,9.0,78,NYK
RJ Nembhard Jr.,1630612,CLE,1610612739,east,central,22,G,5.0,76,CLE
Rajon Rondo,200765,CLE,1610612739,east,central,36,G,1.0,73,CLE.LAL.LAC.ATL.NOP.CHI.SAC.DAL.BOS
Raul Neto,203526,WAS,1610612764,east,southeast,29,G,19.0,74,WAS.PHI.UTA
Reggie Bullock,203493,DAL,1610612742,west,southwest,30,G-F,25.0,78,DAL.NYK.LAL.DET.PHX.LAC
Reggie Jackson,202704,LAC,1610612746,west,pacific,31,G,1.0,74,LAC.DET.OKC
Richaun Holmes,1626158,SAC,1610612758,west,pacific,28,F,22.0,82,SAC.PHX.PHI
Ricky Rubio,201937,IND,1610612754,east,central,31,G,99.0,74,CLE.MIN.PHX.UTA
Robert Covington,203496,LAC,1610612746,west,pacific,31,F,23.0,79,LAC.POR.HOU.MIN.PHI
Robert Williams III,1629057,BOS,1610612738,east,atlantic,24,C-F,44.0,81,BOS
Robin Lopez,201577,ORL,1610612753,east,southeast,33,C,33.0,84,ORL.WAS.MIL.CHI.NYK.POR.NOH.PHX
Rodney Hood,203918,LAC,1610612746,west,pacific,29,G-F,5.0,80,LAC.MIL.TOR.POR.CLE.UTA
