Player,Mean Possibilities,Maximum Possibilities,Mean Decrease in Possibilities
Malik Beasley,6.74,38,98.09%
Marcus Morris Sr.,6.78,30,98.08%
Frank Ntilikina,6.79,33,98.08%
Jalen Brunson,6.80,32,98.07%
Victor Oladipo,6.80,36,98.07%
Austin Rivers,6.84,31,98.06%
Justin Holiday,6.84,24,98.06%
Norman Powell,6.86,35,98.06%
Alec Burks,6.87,31,98.05%
Gordon Hayward,6.87,40,98.05%
Dario Saric,6.90,36,98.05%
Thanasis Antetokounmpo,6.91,27,98.04%
Miles Bridges,6.93,35,98.04%
Markelle Fultz,6.93,36,98.04%
Frank Kaminsky,6.95,25,98.03%
Nickeil Alexander-Walker,6.96,42,98.03%
Obi Toppin,6.98,38,98.02%
Damion Lee,7.00,37,98.02%
Furkan Korkmaz,7.05,32,98.00%
Kyrie Irving,7.07,35,98.00%
Terry Taylor,7.07,25,98.00%
Kentavious Caldwell-Pope,7.12,36,97.98%
Justin Champagnie,7.12,22,97.98%
Tyler Herro,7.14,36,97.98%
Xavier Sneed,7.14,23,97.98%
Rodney McGruder,7.16,30,97.97%
Reggie Bullock,7.18,33,97.97%
John Collins,7.21,35,97.96%
Bryn Forbes,7.23,36,97.95%
Josh Okogie,7.23,38,97.95%
Shai Gilgeous-Alexander,7.29,37,97.93%
Keita Bates-Diop,7.37,35,97.91%
Ben McLemore,7.38,31,97.91%
Chris Duarte,7.40,41,97.90%
Payton Pritchard,7.41,37,97.90%
Scottie Barnes,7.41,34,97.90%
Greg Brown III,7.41,32,97.90%
Jonathan Isaac,7.48,40,97.88%
Gary Trent Jr.,7.48,26,97.88%
Daniel Gafford,7.51,39,97.87%
Pascal Siakam,7.63,40,97.84%
Tyus Jones,7.63,31,97.84%
Carmelo Anthony,7.66,35,97.83%
Zion Williamson,7.67,30,97.83%
Terry Rozier,7.68,31,97.82%
Kelly Olynyk,7.69,33,97.82%
Isaiah Joe,7.71,45,97.82%
Christian Wood,7.75,34,97.80%
Vlatko Cancar,7.77,43,97.80%
Kent Bazemore,7.79,40,97.79%
Aaron Nesmith,7.80,26,97.79%
Raul Neto,7.83,27,97.78%
Julius Randle,7.84,40,97.78%
Trendon Watford,7.85,36,97.78%
Matt Ryan,7.85,38,97.78%
Isaac Bonga,7.87,42,97.77%
Otto Porter Jr.,7.88,44,97.77%
Devonte' Graham,7.90,34,97.76%
T.J. McConnell,7.90,35,97.76%
Fred VanVleet,7.91,33,97.76%
Delon Wright,7.95,36,97.75%
Will Barton,7.95,47,97.75%
Torrey Craig,7.96,40,97.74%
Markieff Morris,8.03,34,97.72%
Trey Lyles,8.04,36,97.72%
CJ Elleby,8.04,26,97.72%
Aaron Gordon,8.09,35,97.71%
Michael Porter Jr.,8.09,41,97.71%
Yuta Watanabe,8.12,44,97.70%
Ziaire Williams,8.12,34,97.70%
Keldon Johnson,8.13,29,97.70%
Marcus Smart,8.18,35,97.68%
Donte DiVincenzo,8.19,38,97.68%
D'Angelo Russell,8.20,36,97.68%
De'Aaron Fox,8.21,48,97.67%
Jimmy Butler,8.21,46,97.67%
Javonte Smart,8.26,41,97.66%
Lauri Markkanen,8.28,36,97.65%
Ayo Dosunmu,8.31,44,97.64%
Terence Davis,8.32,48,97.64%
Jason Preston,8.33,36,97.64%
Devin Vassell,8.35,35,97.64%
Jordan McLaughlin,8.35,38,97.64%
Dean Wade,8.37,38,97.63%
David Johnson,8.38,41,97.63%
Davion Mitchell,8.39,37,97.62%
Jaden McDaniels,8.43,41,97.61%
Gabe Vincent,8.45,44,97.61%
Moritz Wagner,8.46,37,97.60%
Malachi Flynn,8.46,38,97.60%
Jamal Murray,8.48,41,97.60%
Aaron Holiday,8.49,40,97.59%
Myles Powell,8.50,48,97.59%
Nemanja Bjelica,8.50,36,97.59%
Elfrid Payton,8.51,39,97.59%
Kyle Kuzma,8.51,36,97.59%
Bismack Biyombo,8.56,47,97.57%
Jaren Jackson Jr.,8.57,34,97.57%
Harrison Barnes,8.58,47,97.57%
Scottie Lewis,8.64,37,97.55%
DeAndre' Bembry,8.65,33,97.55%
Juancho Hernangomez,8.66,35,97.55%
Zach Collins,8.71,38,97.53%
Skylar Mays,8.74,52,97.52%
R.J. Hampton,8.75,43,97.52%
Brodric Thomas,8.76,35,97.52%
Josh Green,8.80,49,97.51%
Tomas Satoransky,8.81,45,97.50%
John Konchar,8.85,42,97.49%
Kyle Anderson,8.88,43,97.48%
Danny Green,8.93,33,97.47%
David Duke Jr.,8.97,51,97.46%
Josh Jackson,8.97,38,97.46%
Kristaps Porzingis,8.98,35,97.46%
Joel Embiid,9.00,41,97.45%
Ben Simmons,9.07,35,97.43%
Trae Young,9.10,48,97.42%
Kevin Durant,9.11,38,97.42%
Cory Joseph,9.11,37,97.42%
Saddiq Bey,9.16,46,97.40%
P.J. Tucker,9.20,33,97.39%
Paul Millsap,9.24,34,97.38%
Bruno Fernando,9.29,46,97.37%
Joel Ayayi,9.32,39,97.36%
Danilo Gallinari,9.36,35,97.35%
Trey Murphy III,9.38,52,97.34%
Chris Smith,9.39,46,97.34%
Jae Crowder,9.39,32,97.34%
Avery Bradley,9.47,44,97.32%
Giannis Antetokounmpo,9.63,41,97.27%
Terrence Ross,9.65,37,97.27%
